ESTACION;CODIGO;X;Y;MUNICIPIO;CUENCA;Jahr;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE
Dogna Juana;2120630;992300;993700;Santafe de Bogota;R. Tunjuelo;1989;0;0;24,6;30,3;91,6;66,8;37;43,4;41,4;49,6;89,8;38,4
Torca;2120077;1021800;1005320;Santafe de Bogota;R. Bogota;2006;162;124,6;128,1;139,9;131,9;44,2;9,7;24,7;34,2;154,5;0;82,7
Apto Guaymaral;2120559;1023950;1001550;Santafe de Bogota;R. Bogota;2007;13,3;39,7;118,4;32,2;51,5;38,4;12,5;43,8;12,9;287,9;137,3;109
Dogna Juana;2120630;992300;993700;Santafe de Bogota;R. Tunjuelo;2007;0;11,1;34,4;85,5;35,1;85;41,9;61,5;15,9;155,6;31,5;95,1
El Bosque;2120085;986200;995560;Santafe de Bogota;R. Tunjuelo;2007;0;32,7;95,4;128,2;88,3;223,7;57,9;128,2;58,5;147,8;77,3;127,2
La Picota;2120156;995500;994600;Santafe de Bogota;R. Tunjuelo;2007;0;10,8;53;109,6;43,1;62,2;34,2;54,5;17,1;125,2;49,1;132,3
Torca;2120077;1021800;1005320;Santafe de Bogota;R. Bogota;2007;25;22,2;15,6;38,2;51,6;21,6;34,5;94,5;70,5;222,6;151,5;191,4
Apto Guaymaral;2120559;1023950;1001550;Santafe de Bogota;R. Bogota;2008;23;58,6;72,3;78,5;71,3;93;77,5;84,3;55,4;95,6;203;55,3
Dogna Juana;2120630;992300;993700;Santafe de Bogota;R. Tunjuelo;2008;4,6;22,8;36,8;74,3;152,9;90,3;64,5;79,2;36,7;77,6;124,3;80,7
Edificio CAR;2120058;1000000;1000000;Santafe de Bogota;Bogota;2008;0;0;0;0;0;0;0;0;3,5;33,6;49,7;58,4
El Bosque;2120085;986200;995560;Santafe de Bogota;R. Tunjuelo;2008;47,8;55,3;0;0;0;0;0;0;0;0;0;0
La Picota;2120156;995500;994600;Santafe de Bogota;R. Tunjuelo;2008;7,1;62;47,9;63,9;161,5;80,5;73,2;78,4;38,8;74,8;131,6;58,4
Torca;2120077;1021800;1005320;Santafe de Bogota;R. Bogota;2008;52,7;66;112,5;108,4;219,7;110;114,4;97,4;66;123;0;0
Apto Guaymaral;2120559;1023950;1001550;Santafe de Bogota;R. Bogota;2009;39,6;115,5;71,3;55,1;37;73,6;38,5;18,9;18,1;206,8;60,1;28,3
Dogna Juana;2120630;992300;993700;Santafe de Bogota;R. Tunjuelo;2009;28,4;59,8;58;77,7;24,2;40,7;46,4;35,9;26,5;83,1;47,1;4,2
Edificio CAR;2120058;1000000;1000000;Santafe de Bogota;Bogota;2009;46,2;7,3;1,6;0;0;0;0;0;1,1;0;0;0
Edificio CAR;2120058;1000000;1000000;Santafe de Bogota;Bogota;1999;44,8;99,5;52,2;35,5;81,7;69,8;24,2;54,2;108,6;173,2;111,2;88,8
Edificio CAR;2120058;1000000;1000000;Santafe de Bogota;Bogota;1998;0,7;8,3;0;0,9;182,2;43,5;10,5;78,4;84,8;65,6;129;94,1
Edificio CAR;2120058;1000000;1000000;Santafe de Bogota;Bogota;1997;12,1;9,4;21,7;23,5;9;3,1;29,2;0;0;0,7;109;2,6
Edificio CAR;2120058;1000000;1000000;Santafe de Bogota;Bogota;1996;64,3;62,8;98,2;25,2;36,3;28,7;3,8;32,5;23,7;0;0;0
Edificio CAR;2120058;1000000;1000000;Santafe de Bogota;Bogota;1995;1,4;44,8;77,9;93,6;123,7;32,7;30,2;52;22;26,2;67,1;145,8
Edificio CAR;2120058;1000000;1000000;Santafe de Bogota;Bogota;1994;85,3;53;104,8;91,5;95,4;32,5;44,6;32,1;39,6;99,9;109,1;8,2
Edificio CAR;2120058;1000000;1000000;Santafe de Bogota;Bogota;1993;65,1;49,3;61;105,2;107,6;34,2;52,1;17,9;43;41,9;57,8;39,9
Edificio CAR;2120058;1000000;1000000;Santafe de Bogota;Bogota;1992;15;25,9;52,5;61,4;42,3;14,6;36;33,6;20,4;23,1;164;42,5
Edificio CAR;2120058;1000000;1000000;Santafe de Bogota;Bogota;1991;61,4;12;130,9;58,1;73,6;31,4;52,1;76,9;62,2;23,2;150,7;83,6
Edificio CAR;2120058;1000000;1000000;Santafe de Bogota;Bogota;1990;41,5;71,1;12,5;12,4;51,3;30,3;22,4;37,6;7,9;129;39,2;116,6
Edificio CAR;2120058;1000000;1000000;Santafe de Bogota;Bogota;1989;1,6;25,4;111,2;25,9;26;29,6;29;19,9;48;43,1;49,2;55,5
Edificio CAR;2120058;1000000;1000000;Santafe de Bogota;Bogota;1988;73,3;54,6;28,9;23,6;20,1;65,5;45,4;67,8;62,7;126,6;71,2;102,5
Edificio CAR;2120058;1000000;1000000;Santafe de Bogota;Bogota;1987;13,4;61,1;19,3;45,9;104;10,4;55,8;8,6;36,7;174,5;78,4;3,2
Edificio CAR;2120058;1000000;1000000;Santafe de Bogota;Bogota;1986;39;92,9;72,3;185,9;107,9;33,6;0;4,1;35,3;222,1;127,1;43,6
Edificio CAR;2120058;1000000;1000000;Santafe de Bogota;Bogota;1985;56,5;3;50,2;43,7;115,2;21;33,7;43,5;76;140,6;103,3;42,3
Edificio CAR;2120058;1000000;1000000;Santafe de Bogota;Bogota;1984;131,6;64,5;5,4;131,2;58,9;101,3;36,2;56,6;39;27,3;0;16,2
Edificio CAR;2120058;1000000;1000000;Santafe de Bogota;Bogota;1983;28,9;53,1;162,8;223,3;68,6;29,5;31,7;5,6;6,4;51,3;66,1;58,8
Edificio CAR;2120058;1000000;1000000;Santafe de Bogota;Bogota;1982;38,9;36,1;160,4;241,3;78,6;16,8;10,7;16,9;20,8;92,6;131,5;69,3
Edificio CAR;2120058;1000000;1000000;Santafe de Bogota;Bogota;1981;0;35,6;53;134,1;264,2;36,9;21,6;51,7;14,9;58,1;199,9;94,7
El Bosque;2120085;986200;995560;Santafe de Bogota;R. Tunjuelo;2009;0;38,7;56,5;96,1;52,5;113,1;147,8;87,7;66,7;106,1;40,6;28,5
La Picota;2120156;995500;994600;Santafe de Bogota;R. Tunjuelo;2009;22,7;28,2;59,8;82,7;5,9;3;1,8;11,3;24,2;100,9;51,7;0
Torca;2120077;1021800;1005320;Santafe de Bogota;R. Bogota;2009;59,5;87,1;110,5;90,1;71,7;82,7;46,7;17,4;8;281,8;68,2;30
Apto Guaymaral;2120559;1023950;1001550;Santafe de Bogota;R. Bogota;2010;34,8;19,7;16,1;201,8;150,5;95,8;155,5;51,3;83,4;118,4;179,2;121,2
Dogna Juana;2120630;992300;993700;Santafe de Bogota;R. Tunjuelo;2010;0,3;27,1;25,8;193,1;144,3;91,6;104,1;40,8;42,9;95,6;158,7;72,8
Edificio CAR;2120058;1000000;1000000;Santafe de Bogota;Bogota;2010;0;0;0;84,2;161,4;61,3;117;34,8;40,3;83,4;179,7;75,8
El Bosque;2120085;986200;995560;Santafe de Bogota;R. Tunjuelo;2010;0;29,1;40,5;130,6;133,1;134,3;93,9;63,7;67;155;154,2;99,6
La Picota;2120156;995500;994600;Santafe de Bogota;R. Tunjuelo;2010;6,8;41,8;20,5;166,1;162,1;70,5;131,4;34,5;37,5;11,3;188,2;204,6
Torca;2120077;1021800;1005320;Santafe de Bogota;R. Bogota;2010;1,2;30,6;26,6;234,9;210,2;125,1;161,6;66,2;124,9;168,4;192,4;96,7
Apto Guaymaral;2120559;1023950;1001550;Santafe de Bogota;R. Bogota;2011;121,3;108,4;152,3;193,8;131,1;65,8;55,4;66,7;56,5;201;252,1;85,6
Dogna Juana;2120630;992300;993700;Santafe de Bogota;R. Tunjuelo;2011;27,4;61,1;116,6;203,7;140,5;38,1;88,2;16;44,2;120,5;197,7;95,2
Edificio CAR;2120058;1000000;1000000;Santafe de Bogota;Bogota;2011;102,4;170,4;148,2;222,6;182,5;54,5;67,1;44,8;54,3;154,7;156;115,2
El Bosque;2120085;986200;995560;Santafe de Bogota;R. Tunjuelo;2011;29,3;55,9;141;234,5;220,2;110,8;126,1;59,2;87,4;194,8;175;112,3
La Picota;2120156;995500;994600;Santafe de Bogota;R. Tunjuelo;2011;32,2;89,1;78,7;195,2;130,7;50,4;70,2;33,8;15,7;99;120,8;81,9
Torca;2120077;1021800;1005320;Santafe de Bogota;R. Bogota;2011;118,5;161,5;185,4;184;175;59,8;33,9;40,8;134,3;193,9;473,5;143,5
Apto Guaymaral;2120559;1023950;1001550;Santafe de Bogota;R. Bogota;2012;89;66;79,6;189,1;34,5;38,8;75,8;43,2;24,1;116,7;59,6;69,4
