UniPais;Pais;SC.Lac.Ranking;QS.Ranking;WEB.Ranking.LA;SC.Ibe.Ranking;WEB.Ranking.mundial;QS.Puntuacion;QS.Reputacion.academica;QS.Reputacion.entre.empleadores;QS.Estudiantes.por.profesor;QS.PromArticulos.por.docente;QS.Citas.por.articulo;QS.Docentes.con.doctorado;QS.Impacto.Web;SC.Co.Ranking;SC.Productividad;SC.Colaboracion.Interciol;SC.Impacto.normalizado;SC.Publicaciones.de.alta.calidad;SC.Indice.de.especializacion;SC.Indice.de.excelencia;SC.Liderazgo.cientifico;SC.Excelencia.con.liderazgo;WEB.Presencia;WEB.Impacto;WEB.Apertura;WEB.Excelencia
NAL DE RIO CUARTO - ARG;ARG;116;115;218;180;3110;44,1;45;29,5;37,8;36,4;66,8;34,2;54,3;14;921;30,51;0,78;45,06;0,1;8,38;71,23;5,07;;5556;7530;3251
TALCA - CHL;CHL;105;63;58;166;1224;60;62;36,3;18;90;39,7;77,3;92,8;11;996;44,48;0,67;31,12;0,18;7;61,65;3,96;7617;9527;8249;3251
LA FRONTERA (UFRO) - CHL;CHL;93;78;98;151;1696;54,8;46,6;41,5;17,3;96,7;63,3;40,4;85,7;8;1243;38,21;0,72;24,46;0,3;6,31;62,51;2,02;5459;9104;6884;3251
Fe DO MG DSUL - BRA;BRA;71;149;36;128;891;39,3;5,8;;96,8;36,7;36,8;93,3;95,9;38;1625;12,43;0,55;23,57;0,35;3,87;53,11;1,18;7304;10583;7990;3223
Fe DO R de Janeiro RURAL - BRA;BRA;62;137;140;117;2164;41,1;17,7;;76;69,9;21,3;99,3;74,7;35;1870;12,41;0,58;22,51;0,58;3,62;55,29;1,19;4115;6948;8584;3194
ANDRES BELLO - UB - CHL;CHL;107;86;145;168;2206;52,3;48,2;74,2;15,6;21,2;79;18,5;74,9;12;993;44,91;0,86;49,75;0,09;8,96;41,79;2,34;6957;7026;5796;3172
TECNOLOGICA NAL (UTN) - ARG;ARG;122;85;55;187;1206;52,4;38,7;96,3;55,1;5,2;39,1;2,8;92,3;15;858;30,89;0,87;39,16;0,05;7,57;50,82;3,43;7295;9215;9134;3172
POTFIC CATOLICA MG - BRA;BRA;117;128;104;181;1769;42,1;38;39,1;10,7;15,9;40,4;61;84,3;57;914;16,41;0,68;22,32;0,26;6,74;55,36;3,43;6368;7952;8507;3159
AUTONOMA DEL ESTADO DE  - MEX;MEX;91;68;56;149;1218;58,7;87,1;43,9;50,5;10,3;29,8;31,1;92,9;14;1261;30,53;0,57;25,69;0,06;5,43;59,08;2,19;6049;9979;8508;3159
DEL ROSARIO - COL;COL;132;42;128;201;2038;68,5;65,4;95,4;31,6;40,7;85,4;36,2;76,2;7;742;38,41;0,75;36,12;0,43;8,4;51,89;1,76;7940;6274;7624;3146
DIEGO PORTALES - CHL;CHL;129;66;132;197;2113;58,9;70,6;81;37,5;25,4;23,3;27,6;78,1;13;771;36,45;0,65;30,22;0,38;8,3;59,14;2,24;6276;7698;6082;3146
LA SERE - CHL;CHL;177;121;153;253;2331;43;25,7;30,5;11,5;55,9;85,1;52,9;69;18;433;52,89;1,13;52,89;0,47;14,65;47,58;8,37;7426;7905;146;3113
POTFIC CATOLICA DEL PERU - PER;PER;159;30;31;230;822;76,9;96;85,3;42,8;14,1;82,6;42,7;96,9;3;547;62,52;1,26;36,75;0,13;11,88;61,43;3,45;8536;10265;8691;3104
Es DE PONTA GROSSA - BRA;BRA;104;138;147;164;2233;40,9;8,9;13;98,9;48,2;35,6;81,5;75,9;51;1037;11,48;0,66;36,35;0,12;6,49;52,75;3,39;5990;6873;7604;3050
MAYOR DE SAN ANDRES - BOL;BOL;207;112;125;285;2016;44,8;37,9;67;6;6,8;88,8;;81;1;324;88,27;1,17;52,16;0,37;13,5;23,46;0,64;6458;7913;6744;3035
PRESBITERIA MACKENZIE - BRA;BRA;129;93;109;197;1833;51,4;22,4;84,1;15,7;29,3;56,4;72,7;84,3;65;771;21,27;0,64;25,94;0,17;7,02;47,86;1,32;6540;8129;7874;3035
DEL ZULIA - VEN;VEN;80;147;152;138;2322;39,5;42,7;29,7;9,7;22,5;13,8;75;71,1;4;1404;28,77;0,29;14,67;0,39;2,65;67,74;0,65;7833;5627;7187;3018
Fe DE SAO JOAO DEL-REI UFSJ - BRA;BRA;112;148;165;176;2439;39,4;9,5;13,4;64,8;39;55;94,1;70,2;54;944;28,81;1,28;43,11;0,12;14,09;39,72;1,71;6541;5517;8317;2968
NAL MAYOR DE SAN MARCOS - PER;PER;131;57;65;200;1392;63,4;76,2;59,2;42,5;12;31;84,7;91,5;2;750;52,13;0,61;30,8;0,55;4,85;46;0,4;7087;9148;8909;2968
DO VALE DO RIO DOS SINOS - BRA;BRA;119;146;71;184;1428;39,7;26,7;27,5;25,4;38,6;19,7;71,5;91,2;59;880;17,05;0,49;23,86;0,39;3,93;63,75;2,43;6200;9886;7424;2968
VERACRUZA - MEX;MEX;100;141;89;160;1624;40,7;44,3;20,1;46,8;9,9;30,6;42,6;87,8;16;1106;32,01;0,65;29,75;0,02;5,6;50,72;2,71;6785;8407;8907;2910
NAL - CRI;CRI;192;54;102;269;1742;63,8;79,4;80,8;33,2;9,7;84,1;;85,8;2;372;72,31;0,81;44,09;0,49;10,47;36,83;1,38;8040;8557;6078;2887
DO ESTADO SCT - BRA;BRA;11;121;59;28;1262;43;31,7;8,6;55,5;49,2;10,7;91,6;93,1;8;7801;24,14;0,81;35,19;0,42;8,23;61,65;4,65;6379;9755;9006;2887
DEL NORTE - COL;COL;407;72;189;495;2677;56,8;65,2;72,9;32,4;28,4;22,9;50,4;69,8;3;9;88,89;1,67;33,33;0,99;22,22;0;0;5825;6576;5758;2793
LAS AMERICAS PUEBLA (UDLAP) - MEX;MEX;147;50;103;217;1767;65,6;48,5;79,2;56,2;51,5;40,4;91,4;86,6;23;616;39,12;0,68;27,11;0,13;6,91;52,92;3,11;6583;8259;8805;2744
NAL DE ASUNCION - PY;PY;253;78;204;336;2945;54,8;39,7;69,4;79,7;2,7;97,5;21,7;66,4;1;206;71,36;1,23;38,35;0,31;11,76;45,15;1,96;4904;6049;6645;2713
POTFIC CATOLICA DEL ECUADOR - ECU;ECU;221;97;144;302;2197;50,1;55,1;43,4;34,4;7,3;99,3;8,2;79,4;2;278;78,42;1,05;51,8;0,74;11,59;33,45;0,72;6047;7302;8062;2713
COLIMA - MEX;MEX;146;150;53;216;1167;39,2;27,8;6,1;49,6;32,9;49,2;53,7;95;22;629;41,18;0,58;35,93;0;4,87;53,26;1,51;7542;9943;8894;2626
DEL DESARROLLO - CHL;CHL;160;150;240;231;3435;39,2;23,5;57,4;56,7;19,9;40,4;15,6;58,2;16;543;29,83;0,5;28,18;0,55;5,77;52,85;1,49;3534;5484;6048;2591
DEL BIO-BIO - CHL;CHL;153;144;77;223;1486;40;31,8;32,1;19,8;42,3;19,3;51,5;91,2;15;589;52,97;0,58;30,39;0,19;5,52;54,33;2,07;6307;10081;6794;2591
POTFIC BOLIVARIA - COL;COL;154;89;136;224;2130;51,9;53,6;77;40,4;17;23,5;19,8;82,9;8;586;44,2;0,61;21,33;0,04;5,51;53,07;0,69;6003;8320;7048;2546
CARABOBO - VEN;VEN;127;126;91;195;1636;42,5;45,1;51,1;38,9;6,7;11;24,2;90;5;784;25;0,3;15,56;0,36;3,07;69,64;0,77;6107;9569;7652;2546
ANTOFAGASTA - CHL;CHL;172;126;175;247;2546;42,5;33;39,7;35;43;30,4;45,2;75,8;17;474;52,53;0,58;33,97;0,28;6,17;59,92;1,91;3856;8095;6114;2468
POTFIC CATOLICA DO CAMPIS - BRA;BRA;162;114;211;234;3019;44,5;50,3;61,7;36,2;21,2;29,1;;66,2;82;526;7,79;0,43;15,21;0,27;3,07;54,94;0,96;148;7800;6063;2428
AUSTRAL - ARG;ARG;250;20;262;333;3683;80,7;90,9;93,9;100;21,1;99,5;37,9;55,3;30;212;45,28;0,93;46,7;0,21;8,74;50,94;2,43;958;5873;6132;2377
UCA POTFIC CATOLICA ARGENTI - ARG;ARG;237;22;171;320;2509;78,9;95,9;99,8;90,2;4,3;78,5;22;75,2;28;243;37,04;0,66;32,1;0,36;7,86;61,73;2,62;2325;7749;8247;2377
PAMA (UP) - PAN;PAN;262;116;296;346;4062;44;60,2;57,3;64,5;1,3;;11,9;49,6;1;188;82,98;0,71;40,96;0,52;8,56;29,26;2,14;3254;4230;6231;2321
ADOLFO IBAÑEZ - CHL;CHL;199;52;268;277;3747;64,4;74,4;98,3;29,2;25,7;26;61,7;55,3;20;350;46;0,85;43,71;0,43;9,41;54;2,35;5548;5623;2512;2266
LOS ANDES  - CHL;CHL;178;80;318;254;4291;54,5;63,8;65,7;97,6;14,5;21,4;20,5;46,8;19;431;31,09;0,56;24,83;0,38;7,31;54,52;2,83;4759;4038;4155;2266
 I Tec AUTONOMO DE  (ITAM) - MEX;MEX;214;36;168;294;2481;73,8;80,5;94;54,9;31,6;16,9;97,2;78,2;35;292;50;0,56;38,36;0,51;6,55;65,41;4;5416;7391;7787;2266
POTFIC CATOLICADESAOPAULO(PUC-SP) - BRA;BRA;148;33;96;218;1686;75,6;77,7;95,5;95,7;9,2;10,1;95,9;90,6;75;613;12,4;0,3;10,93;0,55;1,83;58,89;0,33;6824;9386;7862;2266
TORCUATO DI TELLA - ARG;ARG;285;44;328;370;4349;68,1;81;90,2;36,8;31,8;15,4;100;45,9;33;152;53,95;0,98;48,03;0,88;11,72;57,89;5,52;2987;5959;;2218
PAMERICA (UP) - MEX;MEX;241;99;272;324;3781;49,8;38,2;69;99,9;5,1;43,7;20,6;55,9;43;232;33,19;0,64;14,66;0,28;6,61;54,31;3,52;3754;4894;6549;2218
LA SABA - COL;COL;217;67;180;297;2594;58,8;65,3;94,6;47,9;16,3;17,5;20,4;76,8;16;289;35,29;0,49;22,15;0,44;6,36;58,82;1,41;5809;7097;7562;2146
JORGETADEOLOZANO - COL;COL;286;119;225;371;3194;43,1;40,2;80,6;33,7;9,1;16,8;5,2;67,5;29;149;53,02;0,81;32,89;0,74;8,16;54,36;2,04;5856;6476;4998;2092
NAL AGRARIA LA MOLI - PER;PER;269;132;233;353;3330;41,6;40,5;31,4;86,7;12,1;21,2;29;66,1;4;176;77,27;1,1;51,7;0,76;11,05;41,48;2,91;4665;5988;6920;2023
SAN ANDRES - ARG;ARG;310;46;257;396;3630;66,4;65,9;93,1;99,9;17;7,1;66,9;62,5;38;115;55,65;0,93;45,22;0,82;10,28;49,57;1,87;2556;6376;6260;1844
ESC SUP POLITEC DEL LITORAL - ESPOL - ECU;ECU;318;134;79;404;1501;41,2;47,1;52,2;31,6;6,4;;19;92,4;4;106;75,47;0,99;27,36;0,33;14,29;51,89;4,76;7706;9000;9390;1744
PALERMO - ARG;ARG;327;60;148;414;2257;62;63,9;88,1;84,6;3,1;;53,8;85,8;40;96;40,63;0,83;36,46;0,77;13,54;75;4,17;6479;8275;8367;1608
CATOLICA DEL URUGUAY (UCU) - URY;URY;331;111;377;418;4881;44,9;52,1;52,2;96,1;5,3;;20,5;48,5;2;92;52,17;0,67;22,83;0,59;7,61;43,48;3,26;354;5951;3610;1442
TECNOLOGICA DE PAMA (UTP) - PAN;PAN;300;105;275;386;3814;47;63,7;70,4;41,5;2,2;;11,6;64,1;2;129;90,7;0,67;21,71;0,43;4,65;41,09;0,78;4091;6148;6146;1442
EAFIT - COL;COL;193;77;129;270;2062;55;66,1;79,6;28,4;23,9;4,2;25;89;14;370;40,81;0,48;21,62;0,16;4,14;62,43;1,38;6802;9147;7526;1442
 I Tec DE BUENOS AIRES (ITBA) - ARG;ARG;297;45;413;383;5300;66,6;75;90,4;92,4;12,7;;86,9;41,9;37;133;33,08;0,64;27,07;0,36;3,85;53,38;1,54;5135;4343;818;1442
COLEGIO DE  - MEX;MEX;259;112;151;343;2291;44,8;65,9;16,3;100;15,8;;;84,2;46;196;32,65;0,42;14,29;0,88;2,38;73,98;1,79;7956;7523;8205;1442
MONTERREY - MEX;MEX;56;109;291;107;4014;45,5;62,5;51,6;50,4;5,9;;29,8;60,3;8;2057;40,54;0,79;27,71;0,05;8,6;63,1;4,48;6814;5366;4157;1258
ABIERTA INTERAMERICA - UAI - ARG;ARG;331;134;375;418;4875;41,2;24,6;55,7;93,8;2,2;;63,1;50,7;41;92;26,09;0,41;10,87;0,78;2,2;70,65;1,1;4740;4723;3873;1258
MONTEVIDEO - URY;URY;367;96;429;455;5498;50,2;70;53,1;61;9;;51,9;43,4;4;50;74;0,97;48;0,6;18,37;42;8,16;5804;2924;4868;1028
ORT URUGUAY - URY;URY;336;107;309;423;4221;46,4;56,1;49,8;100;4,8;;11,4;61;3;85;55,29;0,52;29,41;0,68;3,57;67,06;3,57;5974;5250;5575;1028
ALBERTO HURTADO - CHL;CHL;272;119;350;357;4588;43,1;55,1;47,2;44,1;15,7;4;33,5;56,8;27;168;23,21;0,42;16,67;0,88;1,83;76,19;0,61;1709;6141;5272;1028
BELGRANO - ARG;ARG;346;62;319;433;4296;60,4;69,2;88,9;96,2;2,9;;30,5;64,3;43;75;25,33;0,72;37,33;0,7;5,97;56;0;4604;6428;4940;665
ARGENTI DE LA EMPRESA -UADE - ARG;ARG;352;144;342;439;4458;40;28,8;95,4;32,5;2,5;;10,1;61,6;45;66;48,48;0,39;42,42;0,51;3,45;31,82;0;5747;5585;5113;665
LA SALLE - COL;COL;300;134;346;386;4521;41,2;50,2;73,1;23,2;3,4;;12,1;58,5;31;129;37,21;0,38;16,28;0,64;2,34;45,74;0;6299;4215;7154;665
